City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bartica,GY,2021-11-06 16:54:13,6.4,-58.6167,77.32,92,100,4.38,moderate rain
1,Adrar,MR,2021-11-06 16:54:13,20.5022,-10.0711,86.76,18,12,9.57,few clouds
2,Iranshahr,IR,2021-11-06 16:54:14,27.2025,60.6848,79.14,24,0,0.0,clear sky
3,Rikitea,PF,2021-11-06 16:54:14,-23.1203,-134.9692,75.18,81,100,16.49,overcast clouds
4,Atuona,PF,2021-11-06 16:54:15,-9.8,-139.0333,77.99,75,39,16.87,scattered clouds
5,Busselton,AU,2021-11-06 16:54:15,-33.65,115.3333,46.09,82,0,10.04,clear sky
6,Porvoo,FI,2021-11-06 16:54:16,60.3923,25.6651,39.24,82,64,11.48,broken clouds
7,Bambous Virieux,MU,2021-11-06 16:54:17,-20.3428,57.7575,76.21,83,40,11.5,scattered clouds
8,Ushuaia,AR,2021-11-06 16:49:35,-54.8,-68.3,49.66,50,75,16.11,broken clouds
9,Albany,US,2021-11-06 16:45:51,42.6001,-73.9662,50.81,60,16,1.97,few clouds
10,Tuktoyaktuk,CA,2021-11-06 16:54:18,69.4541,-133.0374,21.2,79,90,13.8,overcast clouds
11,Torbay,CA,2021-11-06 16:54:18,47.6666,-52.7314,41.29,79,75,17.27,light rain
12,New Norfolk,AU,2021-11-06 16:54:19,-42.7826,147.0587,54.9,61,84,1.99,broken clouds
13,Port Augusta,AU,2021-11-06 16:54:20,-32.5,137.7667,61.7,77,100,14.72,overcast clouds
14,Punta Arenas,CL,2021-11-06 16:50:05,-53.15,-70.9167,53.71,62,75,6.91,broken clouds
15,Bud,US,2021-11-06 16:54:20,39.447,-86.1758,54.84,50,8,5.01,clear sky
16,Mataura,NZ,2021-11-06 16:49:30,-46.1927,168.8643,50.49,98,66,0.89,broken clouds
17,Luderitz,NA,2021-11-06 16:54:21,-26.6481,15.1594,65.52,61,100,25.41,overcast clouds
18,Bluff,NZ,2021-11-06 16:54:22,-46.6,168.3333,50.81,86,78,4.03,broken clouds
19,Kapaa,US,2021-11-06 16:49:48,22.0752,-159.319,75.52,80,90,1.01,light rain
20,East London,ZA,2021-11-06 16:54:22,-33.0153,27.9116,68.94,68,40,9.22,scattered clouds
21,Jamestown,US,2021-11-06 16:53:35,42.097,-79.2353,50.52,50,1,5.99,clear sky
22,Kodiak,US,2021-11-06 16:54:23,57.79,-152.4072,31.75,75,56,11.56,broken clouds
23,Mar Del Plata,AR,2021-11-06 16:54:24,-38.0023,-57.5575,55.42,79,75,8.99,broken clouds
24,Worland,US,2021-11-06 16:54:24,44.0169,-107.9554,60.67,33,99,10.8,overcast clouds
25,Cape Town,ZA,2021-11-06 16:49:45,-33.9258,18.4232,64.81,57,20,1.99,few clouds
26,Teseney,ER,2021-11-06 16:54:25,15.11,36.6575,89.64,22,10,8.39,clear sky
27,Port Alfred,ZA,2021-11-06 16:49:40,-33.5906,26.891,63.36,81,100,4.94,overcast clouds
28,Port Elizabeth,ZA,2021-11-06 16:54:26,-33.918,25.5701,64.09,82,90,8.05,overcast clouds
29,Gamba,GA,2021-11-06 16:54:26,-2.65,10.0,78.51,85,92,8.59,overcast clouds
30,Beira,MZ,2021-11-06 16:54:27,-19.8436,34.8389,80.69,78,0,8.99,clear sky
31,Hobart,AU,2021-11-06 16:52:13,-42.8794,147.3294,55.26,70,90,3.0,overcast clouds
32,Chuy,UY,2021-11-06 16:54:27,-33.6971,-53.4616,66.81,53,97,14.43,overcast clouds
33,Yulara,AU,2021-11-06 16:54:28,-25.2406,130.9889,69.64,83,90,3.44,overcast clouds
34,Yellowknife,CA,2021-11-06 16:51:09,62.456,-114.3525,30.42,99,75,6.91,broken clouds
35,Camacha,PT,2021-11-06 16:54:29,33.0833,-16.3333,65.62,60,75,14.97,broken clouds
36,Mananjary,MG,2021-11-06 16:54:29,-21.2167,48.3333,72.81,88,96,1.72,light rain
37,Saldanha,ZA,2021-11-06 16:54:30,-33.0117,17.9442,64.45,69,99,17.83,overcast clouds
38,Saint-Leu,RE,2021-11-06 16:54:30,-21.15,55.2833,74.26,94,7,10.47,clear sky
39,Qaanaaq,GL,2021-11-06 16:54:31,77.484,-69.3632,8.22,72,99,7.92,overcast clouds
40,Saskylakh,RU,2021-11-06 16:54:32,71.9167,114.0833,7.54,90,100,15.3,overcast clouds
41,Guerrero,MX,2021-11-06 16:54:32,17.6667,-100.0,74.59,59,87,4.85,overcast clouds
42,Huarmey,PE,2021-11-06 16:54:33,-10.0681,-78.1522,70.3,74,66,12.1,broken clouds
43,Puerto Ayora,EC,2021-11-06 16:54:33,-0.7393,-90.3518,76.96,70,70,10.94,broken clouds
44,Susanville,US,2021-11-06 16:50:57,40.4163,-120.653,49.08,67,1,9.22,clear sky
45,Cabo San Lucas,MX,2021-11-06 16:54:34,22.8909,-109.9124,85.51,53,58,1.66,broken clouds
46,Zaysan,KZ,2021-11-06 16:54:35,47.4667,84.8667,11.5,84,72,2.8,broken clouds
47,Geraldton,AU,2021-11-06 16:54:35,-28.7667,114.6,61.21,72,23,14.97,few clouds
48,Lebu,CL,2021-11-06 16:54:36,-37.6167,-73.65,58.39,76,44,12.06,scattered clouds
49,Nagua,DO,2021-11-06 16:54:36,19.3832,-69.8474,89.46,70,20,11.5,few clouds
50,Xucheng,CN,2021-11-06 16:54:37,20.35,110.1288,74.1,86,7,9.51,light rain
51,Fortuna,US,2021-11-06 16:54:38,40.5982,-124.1573,51.66,71,90,1.01,overcast clouds
52,Cap Malheureux,MU,2021-11-06 16:54:38,-19.9842,57.6142,76.46,76,30,5.01,scattered clouds
53,Oriximina,BR,2021-11-06 16:54:39,-1.7656,-55.8661,88.84,53,86,4.72,overcast clouds
54,Hithadhoo,MV,2021-11-06 16:54:40,-0.6,73.0833,82.4,75,100,13.24,overcast clouds
55,Hermanus,ZA,2021-11-06 16:54:41,-34.4187,19.2345,62.91,63,62,8.23,broken clouds
56,Nikolskoye,RU,2021-11-06 16:54:41,59.7035,30.7861,39.87,90,63,6.26,broken clouds
57,Urucui,BR,2021-11-06 16:54:42,-7.2294,-44.5561,90.54,49,76,4.14,broken clouds
58,Port Hedland,AU,2021-11-06 16:54:42,-20.3167,118.5667,78.85,83,12,10.36,few clouds
59,Frasin,RO,2021-11-06 16:54:42,47.5333,25.8,44.26,85,100,1.21,overcast clouds
60,Batagay-Alyta,RU,2021-11-06 16:54:43,67.8006,130.4114,-8.39,80,100,7.29,overcast clouds
61,Lima,PE,2021-11-06 16:50:00,-12.0432,-77.0282,65.14,77,90,5.75,overcast clouds
62,Carnarvon,AU,2021-11-06 16:54:44,-24.8667,113.6333,64.47,77,40,21.85,scattered clouds
63,Nanortalik,GL,2021-11-06 16:54:15,60.1432,-45.2371,33.94,82,100,9.15,overcast clouds
64,Alofi,NU,2021-11-06 16:54:44,-19.0595,-169.9187,73.29,94,53,8.05,light rain
65,Klaksvik,FO,2021-11-06 16:49:35,62.2266,-6.589,49.12,98,100,27.09,overcast clouds
66,Avarua,CK,2021-11-06 16:54:45,-21.2078,-159.775,73.45,73,40,5.75,scattered clouds
67,Nhulunbuy,AU,2021-11-06 16:54:46,-12.2333,136.7667,81.21,83,21,4.61,few clouds
68,Ancud,CL,2021-11-06 16:54:46,-41.8697,-73.8203,60.33,65,4,9.48,clear sky
69,Ginda,IN,2021-11-06 16:54:47,30.6945,78.4932,49.05,44,16,6.85,few clouds
70,Arrecife,ES,2021-11-06 16:54:47,28.963,-13.5477,71.67,53,20,24.16,few clouds
71,Tuatapere,NZ,2021-11-06 16:50:09,-46.1333,167.6833,50.83,93,66,1.14,broken clouds
72,Topolobampo,MX,2021-11-06 16:54:48,25.6,-109.05,82.06,39,83,1.72,broken clouds
73,Ostrovnoy,RU,2021-11-06 16:54:49,68.0531,39.5131,35.35,100,100,14.07,overcast clouds
74,Rundu,NA,2021-11-06 16:54:50,-17.9333,19.7667,85.86,28,91,2.91,overcast clouds
75,Vila Velha,BR,2021-11-06 16:53:51,-20.3297,-40.2925,78.75,69,75,5.99,broken clouds
76,Dikson,RU,2021-11-06 16:54:27,73.5069,80.5464,15.91,92,100,15.48,overcast clouds
77,Oussouye,SN,2021-11-06 16:54:51,12.485,-16.5469,96.98,46,37,8.7,scattered clouds
78,Ponta Do Sol,PT,2021-11-06 16:54:51,32.6667,-17.1,71.13,48,15,6.78,few clouds
79,Evensk,RU,2021-11-06 16:54:52,61.95,159.2333,30.99,96,100,8.55,light snow
80,Kropotkin,RU,2021-11-06 16:54:52,45.4375,40.5756,56.05,70,89,4.43,overcast clouds
81,Airai,TL,2021-11-06 16:54:53,-8.9266,125.4092,63.05,92,44,0.98,scattered clouds
82,Okhotsk,RU,2021-11-06 16:54:53,59.3833,143.3,19.83,95,100,22.95,snow
83,Vestmannaeyjar,IS,2021-11-06 16:54:54,63.4427,-20.2734,40.19,87,90,18.41,overcast clouds
84,Aykhal,RU,2021-11-06 16:54:54,66.0,111.5,-10.57,100,91,6.31,overcast clouds
85,Flin Flon,CA,2021-11-06 16:54:55,54.7682,-101.865,37.24,93,90,4.61,overcast clouds
86,Bicas,BR,2021-11-06 16:54:55,-21.7253,-43.0594,79.84,56,96,3.69,overcast clouds
87,Miyoshi,JP,2021-11-06 16:54:56,35.0833,137.0667,64.62,85,100,3.11,overcast clouds
88,Kavieng,PG,2021-11-06 16:54:56,-2.5744,150.7967,83.23,74,74,16.08,broken clouds
89,Barrow,US,2021-11-06 16:50:44,71.2906,-156.7887,12.22,85,40,12.66,scattered clouds
90,San Cristobal,VE,2021-11-06 16:54:57,7.7669,-72.225,82.58,44,53,9.06,broken clouds
91,Zaton,RU,2021-11-06 16:54:58,53.2936,83.8072,26.19,80,75,11.18,light snow
92,Christchurch,NZ,2021-11-06 16:50:06,-43.5333,172.6333,54.91,88,90,3.0,overcast clouds
93,Te Anau,NZ,2021-11-06 16:54:58,-45.4167,167.7167,44.2,89,54,0.49,broken clouds
94,Namtsy,RU,2021-11-06 16:54:59,62.7161,129.6658,-9.29,99,97,2.1,overcast clouds
95,Nantucket,US,2021-11-06 16:54:59,41.2835,-70.0995,53.04,60,39,1.59,scattered clouds
96,Hasaki,JP,2021-11-06 16:55:00,35.7333,140.8333,55.8,62,100,9.35,light rain
97,Souillac,MU,2021-11-06 16:55:00,-20.5167,57.5167,76.35,83,40,11.5,scattered clouds
98,Tiksi,RU,2021-11-06 16:55:01,71.6872,128.8694,-4.72,93,72,12.57,broken clouds
99,Hervey Bay,AU,2021-11-06 16:51:53,-25.2986,152.8535,72.03,80,57,9.13,broken clouds
100,Pedernales,DO,2021-11-06 16:55:02,18.0384,-71.744,85.96,60,15,1.92,few clouds
101,Butaritari,KI,2021-11-06 16:55:03,3.0707,172.7902,81.79,71,100,14.97,overcast clouds
102,Tasiilaq,GL,2021-11-06 16:49:41,65.6145,-37.6368,26.76,70,76,7.36,broken clouds
103,Mecca,SA,2021-11-06 16:55:04,21.4267,39.8261,81.32,56,0,4.61,clear sky
104,Castro,BR,2021-11-06 16:55:05,-24.7911,-50.0119,76.82,69,54,4.47,broken clouds
105,Espanola,US,2021-11-06 16:55:06,35.9911,-106.0806,71.64,19,16,0.51,few clouds
106,Miri,MY,2021-11-06 16:55:07,4.4148,114.0089,78.94,100,40,3.44,scattered clouds
107,Saint-Francois,FR,2021-11-06 16:55:07,46.4154,3.9054,45.84,77,0,5.75,clear sky
108,Hof,DE,2021-11-06 16:55:08,50.3167,11.9167,42.03,88,75,5.75,broken clouds
109,Severo-Kurilsk,RU,2021-11-06 16:55:08,50.6789,156.125,34.97,75,7,1.66,clear sky
110,Luanda,AO,2021-11-06 16:55:09,-8.8368,13.2343,78.8,83,75,5.75,broken clouds
111,Ouesso,CG,2021-11-06 16:55:10,1.6136,16.0517,73.38,95,98,3.58,light rain
112,San Patricio,US,2021-11-06 16:55:10,28.017,-97.5169,69.78,47,0,5.84,clear sky
113,Marystown,CA,2021-11-06 16:55:11,47.1666,-55.1483,43.86,100,11,11.99,few clouds
114,Mogadishu,SO,2021-11-06 16:51:16,2.0371,45.3438,79.54,76,38,14.0,scattered clouds
115,Hilo,US,2021-11-06 16:51:56,19.7297,-155.09,76.28,72,1,8.05,clear sky
116,Necochea,AR,2021-11-06 16:55:12,-38.5473,-58.7368,62.04,42,78,11.9,broken clouds
117,Lompoc,US,2021-11-06 16:55:12,34.6391,-120.4579,59.92,84,90,3.44,mist
118,Bathsheba,BB,2021-11-06 16:55:13,13.2167,-59.5167,86.61,66,40,20.71,scattered clouds
119,Dingle,PH,2021-11-06 16:55:13,10.9995,122.6711,76.96,92,99,5.75,moderate rain
120,Santa Cruz,BO,2021-11-06 16:53:13,-17.8,-63.1667,71.65,53,75,13.8,broken clouds
121,Otradnoye,RU,2021-11-06 16:55:14,59.7775,30.8181,40.03,89,66,6.35,broken clouds
122,Zabaykalsk,RU,2021-11-06 16:55:14,49.6333,117.3167,14.81,43,0,8.05,clear sky
123,Isangel,VU,2021-11-06 16:55:15,-19.55,169.2667,72.05,85,100,8.16,overcast clouds
124,Mormugao,IN,2021-11-06 16:55:16,15.4,73.8,79.86,89,75,3.44,broken clouds
125,Bredasdorp,ZA,2021-11-06 16:49:37,-34.5322,20.0403,61.92,51,94,9.22,overcast clouds
126,Finschhafen,PG,2021-11-06 16:55:16,-6.6024,147.8681,78.1,79,20,1.57,few clouds
127,Saint-Philippe,RE,2021-11-06 16:55:17,-21.3585,55.7679,74.79,79,47,8.68,scattered clouds
128,Ribeira Grande,PT,2021-11-06 16:55:17,38.5167,-28.7,72.0,83,40,21.85,scattered clouds
129,Jatai,BR,2021-11-06 16:55:18,-17.8814,-51.7144,91.78,33,66,4.36,broken clouds
130,Ponta Delgada,PT,2021-11-06 16:55:19,37.7333,-25.6667,70.52,73,20,19.57,few clouds
131,Pangoa,PE,2021-11-06 16:55:19,-12.1167,-73.0,76.75,92,86,3.13,overcast clouds
132,Chicama,PE,2021-11-06 16:55:20,-7.8447,-79.1469,64.94,61,99,10.38,overcast clouds
133,Walvis Bay,NA,2021-11-06 16:55:20,-22.9575,14.5053,72.55,49,54,18.41,broken clouds
134,Kerema,PG,2021-11-06 16:55:21,-7.9631,145.7785,78.26,89,24,2.28,few clouds
135,Kargil,IN,2021-11-06 16:55:22,34.5667,76.1,22.19,70,7,3.38,clear sky
136,Nanma,CN,2021-11-06 16:55:22,36.1817,118.1583,56.79,95,97,8.75,overcast clouds
137,Constitucion,CL,2021-11-06 16:55:23,-35.3333,-72.4167,59.85,60,44,6.6,scattered clouds
138,Show Low,US,2021-11-06 16:53:56,34.2542,-110.0298,68.72,25,1,13.8,clear sky
139,Hambantota,LK,2021-11-06 16:55:23,6.1241,81.1185,79.63,79,100,13.71,moderate rain
140,Porteirinha,BR,2021-11-06 16:55:24,-15.7433,-43.0283,86.45,50,77,2.19,broken clouds
141,Riyadh,SA,2021-11-06 16:49:18,24.6877,46.7219,78.94,25,0,7.67,clear sky
142,Portland,US,2021-11-06 16:54:21,45.5234,-122.6762,50.09,88,90,3.0,overcast clouds
143,Puerto Colombia,CO,2021-11-06 16:55:25,10.9878,-74.9547,87.89,67,77,1.88,broken clouds
144,Vitre,FR,2021-11-06 16:55:26,48.1178,-1.2058,49.08,79,99,6.53,overcast clouds
145,Sabancuy,MX,2021-11-06 16:55:27,18.9667,-91.1833,80.08,57,83,10.74,broken clouds
146,Olafsvik,IS,2021-11-06 16:55:27,64.8945,-23.7142,35.38,89,100,22.17,light rain
147,Srednekolymsk,RU,2021-11-06 16:51:04,67.45,153.6833,4.5,89,100,4.16,overcast clouds
148,Zlobin,HR,2021-11-06 16:55:28,45.2924,14.6541,45.7,58,0,4.61,clear sky
149,Kaitangata,NZ,2021-11-06 16:54:20,-46.2817,169.8464,45.93,80,81,3.27,broken clouds
150,Ulladulla,AU,2021-11-06 16:55:29,-35.35,150.4667,67.1,88,72,4.61,light rain
151,Berlevag,NO,2021-11-06 16:55:29,70.8578,29.0864,34.02,64,100,21.12,overcast clouds
152,Murgab,TM,2021-11-06 16:55:30,37.4966,61.9714,37.27,60,40,0.0,scattered clouds
153,Kieta,PG,2021-11-06 16:55:30,-6.2167,155.6333,79.34,80,82,4.38,broken clouds
154,Upata,VE,2021-11-06 16:55:31,8.0086,-62.3989,81.55,65,99,6.96,overcast clouds
155,Aksarka,RU,2021-11-06 16:55:31,66.5606,67.7975,33.62,98,100,17.11,overcast clouds
156,Bitung,ID,2021-11-06 16:55:32,1.4451,125.1824,76.05,82,77,5.68,broken clouds
157,Zhob,PK,2021-11-06 16:55:32,31.3411,69.4481,60.04,36,27,3.11,scattered clouds
158,Formosa,AR,2021-11-06 16:55:33,-26.1775,-58.1781,73.36,71,100,8.93,overcast clouds
159,Pacific Grove,US,2021-11-06 16:55:33,36.6177,-121.9166,60.57,81,100,1.01,overcast clouds
160,Boralday,KZ,2021-11-06 16:55:34,43.3578,76.8594,17.46,79,9,4.47,mist
161,Udachnyy,RU,2021-11-06 16:55:34,66.4167,112.4,-8.01,96,98,5.41,overcast clouds
162,Antofagasta,CL,2021-11-06 16:49:43,-23.65,-70.4,63.68,66,10,9.84,clear sky
163,Touros,BR,2021-11-06 16:53:12,-5.1989,-35.4608,88.7,62,96,13.47,overcast clouds
164,Chokurdakh,RU,2021-11-06 16:55:35,70.6333,147.9167,4.87,95,100,8.34,overcast clouds
165,Alice Springs,AU,2021-11-06 16:55:36,-23.7,133.8833,69.35,94,90,4.61,overcast clouds
166,Cherskiy,RU,2021-11-06 16:55:36,68.75,161.3,1.44,83,72,10.56,broken clouds
167,Vila Do Maio,CV,2021-11-06 16:55:37,15.1333,-23.2167,86.79,69,33,12.91,scattered clouds
168,Usinsk,RU,2021-11-06 16:55:37,65.9939,57.5281,36.05,100,100,18.72,overcast clouds
169,Talcahuano,CL,2021-11-06 16:55:38,-36.7167,-73.1167,55.08,88,90,5.75,overcast clouds
170,Tuyen Quang,VN,2021-11-06 16:55:39,21.8233,105.2181,75.78,93,96,2.89,overcast clouds
171,Ambilobe,MG,2021-11-06 16:55:39,-13.2,49.05,77.59,81,63,2.98,broken clouds
172,Tambacounda,SN,2021-11-06 16:55:40,13.7539,-13.7586,104.05,31,20,2.3,few clouds
173,Guerrero Negro,MX,2021-11-06 16:55:40,27.9769,-114.0611,71.69,62,3,4.85,clear sky
174,Mahanje,TZ,2021-11-06 16:55:41,-9.9333,35.3333,79.95,28,46,5.41,scattered clouds
175,Barbosa Ferraz,BR,2021-11-06 16:55:41,-24.03,-52.0117,86.29,44,38,5.48,scattered clouds
176,Gijon,ES,2021-11-06 16:53:26,43.5357,-5.6615,55.0,74,15,1.99,few clouds
177,Bonavista,CA,2021-11-06 16:55:42,48.6499,-53.1147,42.12,65,72,22.26,broken clouds
178,Mahebourg,MU,2021-11-06 16:55:43,-20.4081,57.7,76.24,83,40,11.5,scattered clouds
179,Tura,IN,2021-11-06 16:55:43,25.5198,90.2201,63.1,87,11,3.85,few clouds
180,Gazli,UZ,2021-11-06 16:55:44,40.1333,63.45,40.57,21,0,8.1,clear sky
181,Gambela,ET,2021-11-06 16:55:44,8.25,34.5833,77.56,65,23,3.15,light rain
182,Kamenka,RU,2021-11-06 16:55:45,51.3223,42.7678,47.57,83,100,14.18,light rain
183,Asau,RO,2021-11-06 16:55:45,46.4333,26.4,49.95,56,100,0.67,overcast clouds
184,Waitati,NZ,2021-11-06 16:55:46,-45.75,170.5667,52.81,81,90,7.45,overcast clouds
185,Cidreira,BR,2021-11-06 16:55:46,-30.1811,-50.2056,70.61,82,86,12.03,overcast clouds
186,Poum,NC,2021-11-06 16:54:29,-20.2333,164.0167,73.51,67,88,5.59,overcast clouds
187,Vila,PT,2021-11-06 16:55:47,42.0304,-8.1588,49.08,67,1,3.8,clear sky
188,Ostersund,SE,2021-11-06 16:52:28,63.1792,14.6357,35.62,86,40,13.8,scattered clouds
189,Poddorye,RU,2021-11-06 16:55:48,57.4695,31.1156,40.68,87,97,7.43,light rain
190,Turayf,SA,2021-11-06 16:55:49,31.6725,38.6637,70.05,37,0,9.22,clear sky
191,Tabatinga,BR,2021-11-06 16:55:49,-4.2525,-69.9381,87.89,70,20,4.61,few clouds
192,Havre-Saint-Pierre,CA,2021-11-06 16:55:50,50.2334,-63.5986,46.76,66,1,16.11,clear sky
193,Maragogi,BR,2021-11-06 16:53:16,-9.0122,-35.2225,84.43,68,28,16.24,scattered clouds
194,Kudahuvadhoo,MV,2021-11-06 16:55:51,2.6708,72.8944,82.72,74,89,13.31,overcast clouds
195,Leningradskiy,RU,2021-11-06 16:55:51,69.3833,178.4167,-12.28,88,2,5.41,clear sky
196,Bilibino,RU,2021-11-06 16:55:52,68.0546,166.4372,-7.26,90,90,3.4,overcast clouds
197,Jieshi,CN,2021-11-06 16:55:52,22.8134,115.8257,80.94,82,4,5.97,light rain
198,Narsaq,GL,2021-11-06 16:55:54,60.9167,-46.05,25.99,90,100,9.84,overcast clouds
199,Hamina,FI,2021-11-06 16:55:54,60.5697,27.1979,38.48,82,72,13.42,broken clouds
200,Gweta,BW,2021-11-06 16:55:55,-20.1833,25.2333,87.51,27,99,12.37,overcast clouds
201,Longyearbyen,SJ,2021-11-06 16:55:55,78.2186,15.6401,11.88,91,82,4.27,broken clouds
202,Kulhudhuffushi,MV,2021-11-06 16:55:56,6.6221,73.07,81.46,80,77,15.64,broken clouds
203,Bethel,US,2021-11-06 16:55:56,41.3712,-73.414,52.9,52,0,1.01,clear sky
204,Liwale,TZ,2021-11-06 16:55:57,-9.7667,37.9333,82.65,48,56,9.4,broken clouds
205,Sisimiut,GL,2021-11-06 16:55:58,66.9395,-53.6735,20.64,65,45,11.7,scattered clouds
206,Fenelon Falls,CA,2021-11-06 16:55:58,44.5334,-78.7496,49.57,55,58,10.09,broken clouds
207,Sorong,ID,2021-11-06 16:55:59,-0.8833,131.25,80.67,82,100,4.03,overcast clouds
208,Olawa,PL,2021-11-06 16:55:59,50.9466,17.2926,46.81,73,9,8.43,clear sky
209,Sola,VU,2021-11-06 16:55:59,-13.8833,167.55,80.13,75,93,9.86,overcast clouds
210,Gat,IL,2021-11-06 16:56:00,31.61,34.7642,77.68,55,47,4.81,scattered clouds
211,Santa Maria,BR,2021-11-06 16:53:44,-29.6842,-53.8069,72.7,68,90,8.05,overcast clouds
212,Ukiah,US,2021-11-06 16:56:01,39.1502,-123.2078,53.44,94,75,0.0,broken clouds
213,Wukari,NG,2021-11-06 16:56:02,7.85,9.7833,87.19,54,66,3.65,broken clouds
214,Acapulco,MX,2021-11-06 16:56:02,16.8634,-99.8901,83.52,66,91,2.95,overcast clouds
215,Hun,LY,2021-11-06 16:56:03,29.1268,15.9477,80.76,20,7,9.35,clear sky
216,Pathein,MM,2021-11-06 16:56:03,16.7833,94.7333,75.81,86,79,6.04,broken clouds
217,Chernyshevskiy,RU,2021-11-06 16:56:04,63.0128,112.4714,6.53,98,97,4.21,overcast clouds
218,Wakkanai,JP,2021-11-06 16:56:05,45.4094,141.6739,48.43,75,64,23.11,broken clouds
219,Yar-Sale,RU,2021-11-06 16:56:05,66.8333,70.8333,33.49,98,100,17.81,overcast clouds
220,Xinyang,CN,2021-11-06 16:56:06,32.1228,114.0656,53.33,63,100,15.28,light rain
221,Taksimo,RU,2021-11-06 16:56:06,56.3444,114.8794,8.24,83,100,0.78,overcast clouds
222,Najran,SA,2021-11-06 16:56:07,17.4924,44.1277,74.05,21,0,4.23,clear sky
223,Ust-Maya,RU,2021-11-06 16:56:07,60.4167,134.5333,-1.75,99,95,0.13,overcast clouds
224,Taitung,TW,2021-11-06 16:56:08,22.7583,121.1444,76.24,86,27,7.85,scattered clouds
